word,hyphenation,tune
alena,a-lé-na,"[False, True, False]"
aleppe,a-lep-pe,
alessandria,A-les-sàn-dria,"[False, False, True, False]"
alessandro,A-les-sàn-dro,"[False, False, True, False]"
alessio,A-lès-sio,"[False, True, False]"
aletto,a-let-to,
alfa,àl-fa,"[True, False]"
ali,A-LI,"[False, False]"
alichin,a-li-chin,
alichino,a-li-chi-no,
alimento,a-li-mén-to,"[False, False, True, False]"
alla,àl-la,"[True, False]"
allato,al-là-to,"[False, True, False]"
alle,àl-le,"[True, False]"
alleggiar,al-leg-giar,
alleggiata,al-leg-gia-ta,
allegra,al-le-gra,
allegrammo,al-le-gram-mo,
allegranza,al-le-gràn-za,"[False, False, True, False]"
allegrezza,al-le-gréz-za,"[False, False, True, False]"
allegro,al-le-gro--,"[False, False, False, False, False]"
allei,al-le-i,
alleluia,al-le-lù-ia,"[False, False, True, False]"
alleluiando,al-le-lu-ian-do,
allent,al-len-t,
allenta,al-len-ta,
allentava,al-len-ta-va,
allenti,al-len-ti,
allette,al-let-te,
allevata,al-le-và-ta,"[False, False, True, False]"
allodetta,al-lo-dét-ta,"[False, False, True, False]"
allor,al-lór,"[False, True]"
allora,al-ló-ra,"[False, True, False]"
alloraragionare,al-lo-ra-ra-gio-na-re,
alloraricigna,al-lo-ra-ri-ci-gna,
allore,al-lo-re,
alloro,al-lò-ro,"[False, True, False]"
alloste,al-lo-ste,
allotta,al-lòt-ta,"[False, True, False]"
allu,al-lu,
allui,al-lu-i,
alluma,al-lu-ma,
allumati,al-lu-ma-ti,
allungar,al-lun-gar,
allungarsi,al-lun-gar-si,
allungata,al-lun-gà-ta,"[False, False, True, False]"
allungati,al-lun-ga-ti,
alluscio,al-lu-scio,
alma,àl-ma,"[True, False]"
almen,àl-men,"[True, False]"
almeon,al-me-on,
almeone,al-me-o-ne,
almi,al-mi,
alo,à-lo,"[True, False]"
alose,a-lo-se,
alpe,àl-pe,"[True, False]"
alpestro,al-pè-stro,"[False, True, False]"
alquanti,al-quàn-ti,"[False, True, False]"
alquanto,al-quàn-to,"[False, True, False]"
alta,àl-ta,"[True, False]"
altaforte,al-ta-for-te,
altamente,al-ta-mén-te,"[False, False, True, False]"
alte,al-te,
altera,al-tè-ra,"[False, True, False]"
alterazione,al-te-ra-zió-ne,"[False, False, False, True, False]"
alternando,al-ter-nan-do,
altero,al-tè-ro,"[False, True, False]"
altezza,al-téz-za,"[False, True, False]"
alti,al-ti,"[False, False]"
alto,àl-to,"[True, False]"
altr,al-tr,
altra,al-tra,
altrami,al-tra-mi,
altrarco,al-trar-co,
altre,al-tre,
altres,al-tres,
altress,al-tres-s,
altrettanto,al-tret-tàn-to,"[False, False, True, False]"
altri,àl-tri,"[True, False]"
altrimenti,al-tri-mén-ti,"[False, False, True, False]"
altro,àl-tro,"[True, False]"
altrombre,al-trom-bre,
altror,al-tror,
altrove,al-tró-ve,"[False, True, False]"
altru,al-tru,
altrui,al-trùi,"[False, True]"
altruon,al-truon,
altura,al-tù-ra,"[False, True, False]"
aluminava,a-lu-mi-na-va,
alz,al-z,
alza,àl-za,"[True, False]"
alzai,al-za-i,
alzar,al-zar,
alzare,al-zà-re,"[False, True, False]"
alzate,al-za-te,
alzato,al-zà-to,"[False, True, False]"
alzava,al-za-va,
alzi,al-zi,
ama,à-ma,"[True, False]"
amai,a-ma-i,
amando,a-man-do,
amante,a-màn-te,"[False, True, False]"
amanti,a-man-ti,
amanza,a-màn-za,"[False, True, False]"
amar,a-mar,
amara,a-ma-ra,
amare,a-mà-re,"[False, True, False]"
amari,a-ma-ri,
amaro,a-mà-ro,"[False, True, False]"
amarti,a-mar-ti,
amasse,a-mas-se,
amata,a-ma-ta,
amate,a-ma-te--,"[False, False, False, False, False]"
amato,a-mà-to,"[False, True, False]"
ambage,am-bà-ge,"[False, True, False]"
ambasceria,am-ba-sce-rì-a,"[False, False, False, True, False]"
ambascia,am-bà-scia,"[False, True, False]"
ambassi,am-bas-si,
ambedue,am-be-dù-e,"[False, False, True, False]"
ambedui,am-be-dù-i,"[False, False, True, False]"
ambo,àm-bo,"[True, False]"
ambra,àm-bra,"[True, False]"
ameche,a-me-che,
amen,à-men,"[True, False]"
amendato,a-men-da-to,
amender,a-men-der,
amendue,a-men-dù-e,"[False, False, True, False]"
amerei,a-me-re-i,
amforismi,am-fo-ri-smi,
ami,a-mi,
amica,a-mi-ca,
amiche,a-mi-che,
amici,a-mi-ci,
amiclate,a-mi-cla-te,
amico,a-mì-co,"[False, True, False]"
amicoma,a-mi-co-ma,
amio,a-mio,
amista,a-mi-stà,"[False, False, True]"
ammaestrato,am-ma-e-strà-to,"[False, False, False, True, False]"
ammalati,am-ma-la-ti,
ammanna,am-man-na,
ammanta,am-man-ta,
ammanto,am-màn-to,"[False, True, False]"
amme,àm-me,"[True, False]"
ammenda,am-mèn-da,"[False, True, False]"
ammendata,am-men-da-ta,
ammiragli,am-mi-ra-gli,
ammiraglio,am-mi-rà-glio,"[False, False, True, False]"
ammirando,am-mi-ràn-do,"[False, False, True, False]"
ammirar,am-mi-rar,
ammirata,am-mi-ra-ta,
ammirava,am-mi-ra-va,
ammirazion,am-mi-ra-zion,
ammirazione,am-mi-ra-zió-ne,"[False, False, False, True, False]"
ammiri,am-mi-ri,
ammiro,am-mi-ro,
ammonir,am-mo-nir,
ammorta,am-mor-ta,
ammuta,am-mu-ta,
amo,à-mo,"[True, False]"
amonesta,a-mo-ne-sta,
amoniera,a-mo-nie-ra,
amonizione,a-mo-ni-zio-ne,
amor,a-mor,
amore,a-mó-re,"[False, True, False]"
amori,a-mo-ri,
amorosa,a-mo-ro-sa,
amorose,a-mo-ro-se,
amoroso,a-mo-ró-so,"[False, False, True, False]"
amostra,a-mo-stra,
ampi,am-pi,
ampio,àm-pio,"[True, False]"
ana,à-na,"[True, False]"
anassagora,A-nas-sà-go-ra,"[False, False, True, False, False]"
anastagi,a-na-sta-gi,
anastasio,A-na-stà-sio,"[False, False, True, False]"
anca,àn-ca,"[True, False]"
ancella,an-cèl-la,"[False, True, False]"
ancelle,an-cel-le,
anche,àn-che,"[True, False]"
anchise,An-chì-se,"[False, True, False]"
ancida,an-ci-da,
ancide,an-ci-de,
ancider,an-ci-der,
anciderammi,an-ci-de-ram-mi,
ancilla,an-cìl-la,"[False, True, False]"
ancisa,an-ci-sa,
anciso,an-cì-so,"[False, True, False]"
anco,àn-co,"[True, False]"
ancoi,an-còi,"[False, True]"
ancor,an-cor,
ancora,àn-co-ra,"[True, False, False]"
ancore,an-co-re,
and,AND,[False]
andai,an-da-i,
andammo,an-dam-mo,
andando,an-dan-do,
andar,an-dar,
andare,an-dà-re,"[False, True, False]"
andarne,an-dar-ne,
andaro,an-da-ro,
andaron,an-da-ron,
andasse,an-das-se,
andata,an-dà-ta,"[False, True, False]"
andate,an-da-te,
andatevene,an-da-te-ve-ne,
andati,an-da-ti,
andato,an-dà-to,"[False, True, False]"
andava,an-da-va,
andavam,an-da-vam,
andavamo,an-da-va-mo,
andavan,an-da-van,
andavi,an-da-vi,
ander,an-der,
anderem,an-de-rem,
andi,an-di,
andiam,an-diam,
andiamo,an-dia-mo,
andianci,an-dian-ci,
andin,an-din,
andovvi,an-dov-vi,
andr,an-dr,
andrai,an-dra-i,
andranno,an-dran-no,
andrea,An-drè-a,"[False, True, False]"
ane,a-ne,
anella,a-nel-la,
anelo,a-nè-lo,"[False, True, False]"
anfanti,an-fan-ti,
anfiarao,An-fia-rà-o,"[False, False, True, False]"
anfione,an-fió-ne,"[False, True, False]"
anfisibena,an-fi-si-bè-na,"[False, False, False, True, False]"
angel,an-gel,
angeli,an-ge-li,
angelica,an-gè-li-ca,"[False, True, False, False]"
angelicanza,an-ge-li-can-za,
angeliche,an-ge-li-che,
angelici,an-ge-li-ci,
angelico,an-gè-li-co,"[False, True, False, False]"
angelo,àn-ge-lo,"[True, False, False]"
angiolello,an-gio-lel-lo,
angoscia,an-gò-scia,"[False, True, False]"
angosciate,an-go-scia-te,
angosciosa,an-go-scio-sa,
angosciosi,an-go-scio-si,
anguilla,an-guìl-la,"[False, True, False]"
angusto,an-gù-sto,"[False, True, False]"
anima,à-ni-ma,"[True, False, False]"
animai,a-ni-ma-i,
animal,a-ni-mal,
animale,a-ni-mà-le,"[False, False, True, False]"
animali,a-ni-ma-li,
animate,a-ni-ma-te,
animato,a-ni-mà-to,"[False, False, True, False]"
anime,a-ni-me,
animi,a-ni-mi,
animo,à-ni-mo,"[True, False, False]"
anna,àn-na,"[True, False]"
annera,an-ne-ra,
anni,an-ni,
annibale,An-nì-ba-le,"[False, True, False, False]"
annieghi,an-nie-ghi,
anno,àn-no,"[True, False]"
annotta,an-not-ta,
annoverar,an-no-ve-rar,
annual,an-nual,
annunzi,an-nun-zi,
annunziatrice,an-nun-zia-tri-ce,
annunzio,an-nùn-zio,"[False, True, False]"
anoiato,a-no-ia-to,
ansando,an-san-do,
anselmo,An-sèl-mo,"[False, True, False]"
anselmuccio,an-sel-muc-cio,
antandro,an-tan-dro,
ante,àn-te,"[True, False]"
antecessor,an-te-ces-sor,
antelucani,an-te-lu-ca-ni,
antenori,an-te-no-ri,
anteo,Antèo,[True]
anterior,an-te-rior,
antica,àn-ti-ca,"[True, False, False]"
antiche,an-ti-che,
antichi,an-ti-chi,
antico,an-tì-co,"[False, True, False]"
antifonte,an-ti-fon-te,
antigone,an-tì-go-ne,"[False, True, False, False]"
antivedere,an-ti-ve-dé-re,"[False, False, False, True, False]"
antivedesse,an-ti-ve-des-se,
antomata,an-to-ma-ta,
anz,an-z,
anzama,an-za-ma,
anzera,an-ze-ra,
anzeran,an-ze-ran,
anzi,àn-zi,"[True, False]"
anzian,an-zian,
aolente,a-o-len-te,
aparenti,a-pa-ren-ti,
aparenza,a-pa-ren-za,
apasse,a-pas-se,
ape,à-pe,"[True, False]"
apella,a-pèl-la,"[False, True, False]"
apennino,a-pen-nì-no,"[False, False, True, False]"
aperse,a-per-se,
apersi,a-per-si,
aperta,a-pèr-ta,"[False, True, False]"
aperte,a-per-te,
aperti,a-per-ti,
aperto,a-pér-to,"[False, True, False]"
apo,à-po,"[True, False]"
aporta,a-por-ta,
